scraped_at_kst,rank,name,code,search_ratio,price,change,change_pct,volume,open,high,low,per,roe
2026-04-23T00:36:29+09:00,1,삼성전자,005930,8.49%,"217,500","하락 1,500",-0.68%,"16,732,867","218,500","222,500","215,500",33.14,10.85
2026-04-23T00:36:29+09:00,2,SK하이닉스,000660,6.93%,"1,223,000","하락 1,000",-0.08%,"2,868,962","1,227,000","1,233,000","1,195,000",20.74,44.15
2026-04-23T00:36:29+09:00,3,삼천당제약,000250,3.84%,"403,000","하락 72,500",-15.25%,"1,164,210","463,000","464,000","349,500","1,799.11",1.94
2026-04-23T00:36:29+09:00,4,삼성SDI,006400,3.69%,"659,000","상승 14,000",+2.17%,"1,727,542","686,000","686,000","647,000",-79.16,-3.15
2026-04-23T00:36:29+09:00,5,두산에너빌리티,034020,2.76%,"115,900",상승 200,+0.17%,"3,779,530","115,000","116,800","112,000",878.03,1.11
2026-04-23T00:36:29+09:00,6,현대차,005380,2.64%,"541,000","하락 5,000",-0.92%,"747,125","540,000","542,000","531,000",15.31,8.41
2026-04-23T00:36:29+09:00,7,삼성전기,009150,2.61%,"812,000","상승 40,000",+5.18%,"971,103","798,000","816,000","776,000",89.24,7.70
2026-04-23T00:36:29+09:00,8,대우건설,047040,2.41%,"32,550",하락 300,-0.91%,"25,678,753","31,850","32,700","30,500",-14.83,-23.89
2026-04-23T00:36:29+09:00,9,삼성중공업,010140,2.17%,"31,800","상승 1,600",+5.30%,"13,693,156","30,350","32,350","30,050",51.29,13.74
2026-04-23T00:36:29+09:00,10,이수페타시스,007660,2.14%,"161,400","상승 28,200",+21.17%,"7,161,525","135,000","164,400","134,900",71.51,29.64
2026-04-23T00:36:29+09:00,11,LIG디펜스앤에어로스페이스,079550,1.87%,"1,020,000","상승 111,000",+12.21%,"1,256,173","970,000","1,118,000","962,000",88.57,19.20
2026-04-23T00:36:29+09:00,12,에코프로,086520,1.58%,"164,300",상승 600,+0.37%,"1,874,518","166,600","166,700","158,300",-148.96,-8.39
2026-04-23T00:36:29+09:00,13,NAVER,035420,1.48%,"214,000",보합 0,0.00%,"364,648","215,000","216,000","212,500",17.29,7.37
2026-04-23T00:36:29+09:00,14,POSCO홀딩스,005490,1.47%,"418,500","하락 3,000",-0.71%,"561,752","420,000","423,000","410,500",51.76,1.18
2026-04-23T00:36:29+09:00,15,HD현대중공업,329180,1.44%,"641,000","상승 65,000",+11.28%,"1,396,507","577,000","643,000","564,000",40.82,18.82
2026-04-23T00:36:29+09:00,16,한화오션,042660,1.43%,"135,000","상승 3,800",+2.90%,"2,872,125","131,300","135,900","130,600",33.20,22.59
2026-04-23T00:36:29+09:00,17,대한광통신,010170,1.26%,"15,220",하락 480,-3.06%,"21,896,908","15,700","16,000","14,700",-62.89,-52.05
2026-04-23T00:36:29+09:00,18,현대로템,064350,1.22%,"237,500","상승 16,000",+7.22%,"1,096,697","228,000","239,500","227,500",33.66,30.05
2026-04-23T00:36:29+09:00,19,LG전자,066570,1.20%,"132,800","상승 6,200",+4.90%,"1,430,607","126,000","133,900","125,600",24.96,4.28
2026-04-23T00:36:29+09:00,20,LG이노텍,011070,1.19%,"500,000","상승 75,000",+17.65%,"598,835","453,000","505,000","446,500",34.68,6.14
2026-04-23T00:36:29+09:00,21,LG에너지솔루션,373220,1.18%,"484,500","상승 6,500",+1.36%,"880,220","491,500","493,000","468,000",-105.67,-5.19
2026-04-23T00:36:29+09:00,22,LS ELECTRIC,010120,1.18%,"194,200","상승 9,500",+5.14%,"1,498,778","191,700","198,800","187,500",101.62,14.67
2026-04-23T00:36:29+09:00,23,주성엔지니어링,036930,1.16%,"120,400","상승 1,500",+1.26%,"8,140,901","120,000","126,300","107,800",159.47,6.17
2026-04-23T00:36:29+09:00,24,한화솔루션,009830,1.06%,"47,550","상승 2,100",+4.62%,"3,574,064","45,050","48,150","44,800",-12.75,-7.01
2026-04-23T00:36:29+09:00,25,한미반도체,042700,1.00%,"293,500","하락 1,500",-0.51%,"684,772","292,000","295,000","286,000",131.44,34.76
2026-04-23T00:36:29+09:00,26,펄어비스,263750,0.97%,"57,700","상승 3,300",+6.07%,"1,443,375","54,700","58,700","54,100",-440.46,-1.05
2026-04-23T00:36:29+09:00,27,에코프로비엠,247540,0.97%,"218,000","하락 2,500",-1.13%,"744,134","222,500","222,500","212,500",540.94,2.29
2026-04-23T00:36:29+09:00,28,미래에셋벤처투자,100790,0.95%,"57,700","상승 10,350",+21.86%,"13,077,426","47,250","61,500","47,000",99.14,8.47
2026-04-23T00:36:29+09:00,29,LG디스플레이,034220,0.94%,"15,480",상승 710,+4.81%,"11,027,913","14,750","15,800","14,740",34.17,3.44
2026-04-23T00:36:29+09:00,30,대한전선,001440,0.93%,"41,050",하락 500,-1.20%,"6,559,682","40,050","41,750","38,700",90.82,5.48
2026-04-23T00:45:46+09:00,1,삼성전자,005930,8.49%,"217,500","하락 1,500",-0.68%,"16,732,867","218,500","222,500","215,500",33.14,10.85
2026-04-23T00:45:46+09:00,2,SK하이닉스,000660,6.93%,"1,223,000","하락 1,000",-0.08%,"2,868,962","1,227,000","1,233,000","1,195,000",20.74,44.15
2026-04-23T00:45:46+09:00,3,삼천당제약,000250,3.84%,"403,000","하락 72,500",-15.25%,"1,164,210","463,000","464,000","349,500","1,799.11",1.94
2026-04-23T00:45:46+09:00,4,삼성SDI,006400,3.69%,"659,000","상승 14,000",+2.17%,"1,727,542","686,000","686,000","647,000",-79.16,-3.15
2026-04-23T00:45:46+09:00,5,두산에너빌리티,034020,2.76%,"115,900",상승 200,+0.17%,"3,779,530","115,000","116,800","112,000",878.03,1.11
2026-04-23T00:45:46+09:00,6,현대차,005380,2.64%,"541,000","하락 5,000",-0.92%,"747,125","540,000","542,000","531,000",15.31,8.41
2026-04-23T00:45:46+09:00,7,삼성전기,009150,2.61%,"812,000","상승 40,000",+5.18%,"971,103","798,000","816,000","776,000",89.24,7.70
2026-04-23T00:45:46+09:00,8,대우건설,047040,2.41%,"32,550",하락 300,-0.91%,"25,678,753","31,850","32,700","30,500",-14.83,-23.89
2026-04-23T00:45:46+09:00,9,삼성중공업,010140,2.17%,"31,800","상승 1,600",+5.30%,"13,693,156","30,350","32,350","30,050",51.29,13.74
2026-04-23T00:45:46+09:00,10,이수페타시스,007660,2.14%,"161,400","상승 28,200",+21.17%,"7,161,525","135,000","164,400","134,900",71.51,29.64
2026-04-23T00:45:46+09:00,11,LIG디펜스앤에어로스페이스,079550,1.87%,"1,020,000","상승 111,000",+12.21%,"1,256,173","970,000","1,118,000","962,000",88.57,19.20
2026-04-23T00:45:46+09:00,12,에코프로,086520,1.58%,"164,300",상승 600,+0.37%,"1,874,518","166,600","166,700","158,300",-148.96,-8.39
2026-04-23T00:45:46+09:00,13,NAVER,035420,1.48%,"214,000",보합 0,0.00%,"364,648","215,000","216,000","212,500",17.29,7.37
2026-04-23T00:45:46+09:00,14,POSCO홀딩스,005490,1.47%,"418,500","하락 3,000",-0.71%,"561,752","420,000","423,000","410,500",51.76,1.18
2026-04-23T00:45:46+09:00,15,HD현대중공업,329180,1.44%,"641,000","상승 65,000",+11.28%,"1,396,507","577,000","643,000","564,000",40.82,18.82
2026-04-23T00:45:46+09:00,16,한화오션,042660,1.43%,"135,000","상승 3,800",+2.90%,"2,872,125","131,300","135,900","130,600",33.20,22.59
2026-04-23T00:45:46+09:00,17,대한광통신,010170,1.26%,"15,220",하락 480,-3.06%,"21,896,908","15,700","16,000","14,700",-62.89,-52.05
2026-04-23T00:45:46+09:00,18,현대로템,064350,1.22%,"237,500","상승 16,000",+7.22%,"1,096,697","228,000","239,500","227,500",33.66,30.05
2026-04-23T00:45:46+09:00,19,LG전자,066570,1.20%,"132,800","상승 6,200",+4.90%,"1,430,607","126,000","133,900","125,600",24.96,4.28
2026-04-23T00:45:46+09:00,20,LG이노텍,011070,1.19%,"500,000","상승 75,000",+17.65%,"598,835","453,000","505,000","446,500",34.68,6.14
2026-04-23T00:45:46+09:00,21,LG에너지솔루션,373220,1.18%,"484,500","상승 6,500",+1.36%,"880,220","491,500","493,000","468,000",-105.67,-5.19
2026-04-23T00:45:46+09:00,22,LS ELECTRIC,010120,1.18%,"194,200","상승 9,500",+5.14%,"1,498,778","191,700","198,800","187,500",101.62,14.67
2026-04-23T00:45:46+09:00,23,주성엔지니어링,036930,1.16%,"120,400","상승 1,500",+1.26%,"8,140,901","120,000","126,300","107,800",159.47,6.17
2026-04-23T00:45:46+09:00,24,한화솔루션,009830,1.06%,"47,550","상승 2,100",+4.62%,"3,574,064","45,050","48,150","44,800",-12.75,-7.01
2026-04-23T00:45:46+09:00,25,한미반도체,042700,1.00%,"293,500","하락 1,500",-0.51%,"684,772","292,000","295,000","286,000",131.44,34.76
2026-04-23T00:45:46+09:00,26,펄어비스,263750,0.97%,"57,700","상승 3,300",+6.07%,"1,443,375","54,700","58,700","54,100",-440.46,-1.05
2026-04-23T00:45:46+09:00,27,에코프로비엠,247540,0.97%,"218,000","하락 2,500",-1.13%,"744,134","222,500","222,500","212,500",540.94,2.29
2026-04-23T00:45:46+09:00,28,미래에셋벤처투자,100790,0.95%,"57,700","상승 10,350",+21.86%,"13,077,426","47,250","61,500","47,000",99.14,8.47
2026-04-23T00:45:46+09:00,29,LG디스플레이,034220,0.94%,"15,480",상승 710,+4.81%,"11,027,913","14,750","15,800","14,740",34.17,3.44
2026-04-23T00:45:46+09:00,30,대한전선,001440,0.93%,"41,050",하락 500,-1.20%,"6,559,682","40,050","41,750","38,700",90.82,5.48
2026-04-23T01:46:09+09:00,1,삼성전자,005930,8.49%,"217,500","하락 1,500",-0.68%,"16,732,867","218,500","222,500","215,500",33.14,10.85
2026-04-23T01:46:09+09:00,2,SK하이닉스,000660,6.93%,"1,223,000","하락 1,000",-0.08%,"2,868,962","1,227,000","1,233,000","1,195,000",20.74,44.15
2026-04-23T01:46:09+09:00,3,삼천당제약,000250,3.84%,"403,000","하락 72,500",-15.25%,"1,164,210","463,000","464,000","349,500","1,799.11",1.94
2026-04-23T01:46:09+09:00,4,삼성SDI,006400,3.69%,"659,000","상승 14,000",+2.17%,"1,727,542","686,000","686,000","647,000",-79.16,-3.15
2026-04-23T01:46:09+09:00,5,두산에너빌리티,034020,2.76%,"115,900",상승 200,+0.17%,"3,779,530","115,000","116,800","112,000",878.03,1.11
2026-04-23T01:46:09+09:00,6,현대차,005380,2.64%,"541,000","하락 5,000",-0.92%,"747,125","540,000","542,000","531,000",15.31,8.41
2026-04-23T01:46:09+09:00,7,삼성전기,009150,2.61%,"812,000","상승 40,000",+5.18%,"971,103","798,000","816,000","776,000",89.24,7.70
2026-04-23T01:46:09+09:00,8,대우건설,047040,2.41%,"32,550",하락 300,-0.91%,"25,678,753","31,850","32,700","30,500",-14.83,-23.89
2026-04-23T01:46:09+09:00,9,삼성중공업,010140,2.17%,"31,800","상승 1,600",+5.30%,"13,693,156","30,350","32,350","30,050",51.29,13.74
2026-04-23T01:46:09+09:00,10,이수페타시스,007660,2.14%,"161,400","상승 28,200",+21.17%,"7,161,525","135,000","164,400","134,900",71.51,29.64
2026-04-23T01:46:09+09:00,11,LIG디펜스앤에어로스페이스,079550,1.87%,"1,020,000","상승 111,000",+12.21%,"1,256,173","970,000","1,118,000","962,000",88.57,19.20
2026-04-23T01:46:09+09:00,12,에코프로,086520,1.58%,"164,300",상승 600,+0.37%,"1,874,518","166,600","166,700","158,300",-148.96,-8.39
2026-04-23T01:46:09+09:00,13,NAVER,035420,1.48%,"214,000",보합 0,0.00%,"364,648","215,000","216,000","212,500",17.29,7.37
2026-04-23T01:46:09+09:00,14,POSCO홀딩스,005490,1.47%,"418,500","하락 3,000",-0.71%,"561,752","420,000","423,000","410,500",51.76,1.18
2026-04-23T01:46:09+09:00,15,HD현대중공업,329180,1.44%,"641,000","상승 65,000",+11.28%,"1,396,507","577,000","643,000","564,000",40.82,18.82
2026-04-23T01:46:09+09:00,16,한화오션,042660,1.43%,"135,000","상승 3,800",+2.90%,"2,872,125","131,300","135,900","130,600",33.20,22.59
2026-04-23T01:46:09+09:00,17,대한광통신,010170,1.26%,"15,220",하락 480,-3.06%,"21,896,908","15,700","16,000","14,700",-62.89,-52.05
2026-04-23T01:46:09+09:00,18,현대로템,064350,1.22%,"237,500","상승 16,000",+7.22%,"1,096,697","228,000","239,500","227,500",33.66,30.05
2026-04-23T01:46:09+09:00,19,LG전자,066570,1.20%,"132,800","상승 6,200",+4.90%,"1,430,607","126,000","133,900","125,600",24.96,4.28
