scraped_at_kst,rank,name,code,search_ratio,price,change,change_pct,volume,open,high,low,per,roe
2026-04-20T11:28:01+09:00,1,삼성전자,005930,13.23%,"218,000","상승 2,000",+0.93%,"8,036,309","214,500","219,000","213,000",33.21,10.85
2026-04-20T11:28:01+09:00,2,SK하이닉스,000660,8.52%,"1,169,000","상승 41,000",+3.63%,"1,569,207","1,148,000","1,172,000","1,141,000",19.83,44.15
2026-04-20T11:28:01+09:00,3,삼성SDI,006400,4.12%,"543,000","상승 30,000",+5.85%,"517,877","515,000","549,000","509,000",-65.23,-3.15
2026-04-20T11:28:01+09:00,4,두산에너빌리티,034020,3.72%,"113,100","상승 4,600",+4.24%,"3,907,759","109,200","114,700","108,600",856.82,1.11
2026-04-20T11:28:01+09:00,5,현대차,005380,3.03%,"535,000","하락 3,000",-0.56%,"467,071","533,000","541,000","526,000",15.14,8.41
2026-04-20T11:28:01+09:00,6,대우건설,047040,2.20%,"28,250",하락 450,-1.57%,"10,897,907","28,300","28,900","27,650",-12.87,-23.89
2026-04-20T11:28:01+09:00,7,주성엔지니어링,036930,2.06%,"85,600","상승 15,200",+21.59%,"4,926,465","71,900","87,900","70,300",113.38,6.17
2026-04-20T11:28:01+09:00,8,에코프로,086520,2.01%,"159,300","상승 7,400",+4.87%,"1,216,158","151,200","159,400","150,000",-144.42,-8.39
2026-04-20T11:28:01+09:00,9,삼성전기,009150,1.86%,"686,000","상승 7,000",+1.03%,"384,948","691,000","698,000","669,000",75.39,7.70
2026-04-20T11:28:01+09:00,10,대한광통신,010170,1.73%,"15,630",상승 50,+0.32%,"10,550,785","15,600","16,520","15,580",-64.59,-52.05
2026-04-20T11:28:01+09:00,11,빛과전자,069540,1.60%,"6,615",상승 755,+12.88%,"41,684,284","6,210","7,120","6,030",-17.41,-32.62
2026-04-20T11:28:01+09:00,12,대한전선,001440,1.58%,"39,850",상승 550,+1.40%,"13,159,766","39,300","42,775","39,250",88.16,5.48
2026-04-20T11:28:01+09:00,13,POSCO홀딩스,005490,1.43%,"392,500","상승 7,500",+1.95%,"233,869","386,500","394,500","385,000",48.55,1.18
2026-04-20T11:28:01+09:00,14,삼천당제약,000250,1.28%,"481,000","하락 4,500",-0.93%,"82,998","490,500","490,500","479,500","2,147.32",1.94
2026-04-20T11:28:01+09:00,15,엑스게이트,356680,1.20%,"17,670","상승 2,680",+17.88%,"17,140,179","14,950","19,120","14,300",129.93,8.36
2026-04-20T11:28:01+09:00,16,우리기술,032820,1.14%,"22,700",상승 150,+0.67%,"7,198,458","22,550","23,750","22,100","4,540.00",0.67
2026-04-20T11:28:01+09:00,17,삼성전자우,005935,1.06%,"147,900","상승 1,300",+0.89%,"944,001","145,200","148,300","145,100",22.53,N/A
2026-04-20T11:28:01+09:00,18,NAVER,035420,1.05%,"215,500","하락 1,000",-0.46%,"168,233","216,000","217,500","213,000",17.41,7.37
2026-04-20T11:28:01+09:00,19,알테오젠,196170,1.05%,"378,000","상승 12,000",+3.28%,"183,389","368,000","382,000","365,000",143.56,39.42
2026-04-20T11:28:01+09:00,20,LG에너지솔루션,373220,1.00%,"434,500","상승 16,500",+3.95%,"292,350","419,500","435,000","416,500",-94.77,-5.19
2026-04-20T11:28:01+09:00,21,삼성중공업,010140,0.97%,"29,100",상승 50,+0.17%,"1,340,243","29,150","29,250","28,850",46.94,13.74
2026-04-20T11:28:01+09:00,22,이수페타시스,007660,0.94%,"134,700","상승 14,400",+11.97%,"2,081,047","122,000","136,200","121,800",59.68,29.64
2026-04-20T11:28:01+09:00,23,광전자,017900,0.92%,"13,010",하락 800,-5.79%,"8,285,378","13,370","14,480","12,850",178.22,1.77
2026-04-20T11:28:01+09:00,24,한화오션,042660,0.92%,"129,000","하락 1,000",-0.77%,"487,254","130,800","130,800","128,200",31.73,22.59
2026-04-20T11:28:01+09:00,25,알지노믹스,476830,0.85%,"207,500","상승 7,700",+3.85%,"591,355","218,000","222,500","204,000",-22.12,604.61
2026-04-20T11:28:01+09:00,26,HLB,028300,0.83%,"62,700",보합 0,0.00%,"270,737","64,200","64,500","62,600",-37.39,-44.32
2026-04-20T11:28:01+09:00,27,드림시큐리티,203650,0.82%,"3,880",상한가 895,+29.98%,"22,924,608","3,175","3,880","3,000",46.19,7.19
2026-04-20T11:28:01+09:00,28,한화솔루션,009830,0.80%,"42,500","하락 1,550",-3.52%,"1,284,432","43,550","43,550","41,650",-11.40,-7.01
2026-04-20T11:28:01+09:00,29,현대건설,000720,0.79%,"175,500","하락 1,500",-0.85%,"803,901","171,800","178,100","170,300",52.86,4.58
2026-04-20T11:28:01+09:00,30,로보티즈,108490,0.79%,"293,000","상승 20,000",+7.33%,"272,880","272,500","296,000","269,000",777.19,2.49
2026-04-20T14:27:18+09:00,1,삼성전자,005930,11.39%,"216,250",상승 250,+0.12%,"13,040,183","214,500","219,000","213,000",32.94,10.85
2026-04-20T14:27:18+09:00,2,SK하이닉스,000660,9.32%,"1,169,000","상승 41,000",+3.63%,"2,408,642","1,148,000","1,175,000","1,141,000",19.83,44.15
2026-04-20T14:27:18+09:00,3,주성엔지니어링,036930,3.81%,"91,500","상한가 21,100",+29.97%,"9,476,853","71,900","91,500","70,300",121.19,6.17
2026-04-20T14:27:18+09:00,4,두산에너빌리티,034020,2.82%,"111,500","상승 3,000",+2.76%,"5,112,255","109,200","114,700","108,600",844.70,1.11
